# Pathway	demo_Abundance
HISDEG-PWY: L-histidine degradation I	29.3806517461
HISDEG-PWY: L-histidine degradation I|unclassified	29.3806517461
PWY-621: sucrose degradation III (sucrose invertase)	29.3441476008
PWY-621: sucrose degradation III (sucrose invertase)|unclassified	29.3441476008
PWY-7208: superpathway of pyrimidine nucleobases salvage	28.3226957194
PWY-7208: superpathway of pyrimidine nucleobases salvage|unclassified	28.3226957194
PWY-6897: thiamine diphosphate salvage II	28.2791218434
PWY-6897: thiamine diphosphate salvage II|unclassified	28.2791218434
PWY-6629: superpathway of L-tryptophan biosynthesis	26.0025086833
PWY-6629: superpathway of L-tryptophan biosynthesis|unclassified	26.0025086833
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	25.8203135609
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|unclassified	25.8203135609
PWY-7199: pyrimidine deoxyribonucleosides salvage	25.5448529210
PWY-7199: pyrimidine deoxyribonucleosides salvage|unclassified	25.5448529210
TRPSYN-PWY: L-tryptophan biosynthesis	23.5576566877
TRPSYN-PWY: L-tryptophan biosynthesis|unclassified	23.5576566877
PWY-5030: L-histidine degradation III	23.3436057975
PWY-5030: L-histidine degradation III|unclassified	23.3436057975
THRESYN-PWY: superpathway of L-threonine biosynthesis	23.1019133786
THRESYN-PWY: superpathway of L-threonine biosynthesis|unclassified	23.1019133786
PWY-5659: GDP-mannose biosynthesis	23.0467567201
PWY-5659: GDP-mannose biosynthesis|unclassified	23.0467567201
PWY-8178: pentose phosphate pathway (non-oxidative branch) II	23.0236418535
PWY-8178: pentose phosphate pathway (non-oxidative branch) II|unclassified	23.0236418535
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	22.8468423087
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|unclassified	22.8468423087
PWY-2941: L-lysine biosynthesis II	22.5710919819
PWY-2941: L-lysine biosynthesis II|unclassified	22.5710919819
PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II	22.4413067721
PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II|unclassified	22.4413067721
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	21.8746624908
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I|unclassified	21.8746624908
PWY-6901: superpathway of glucose and xylose degradation	21.5678158261
PWY-6901: superpathway of glucose and xylose degradation|unclassified	21.5678158261
PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	21.2446165106
PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis|unclassified	21.2446165106
FASYN-ELONG-PWY: fatty acid elongation -- saturated	21.1857028598
FASYN-ELONG-PWY: fatty acid elongation -- saturated|unclassified	21.1857028598
PWY-7238: sucrose biosynthesis II	21.0805370961
PWY-7238: sucrose biosynthesis II|unclassified	21.0805370961
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)	20.9311156227
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)|unclassified	20.9311156227
